,EspnId,Name,Util,P,SP,Espn_proj,OF,3B,SS,1B,2B,C,RP
1825,4420745,Carson Seymour,False,True,True,39.0,False,False,False,False,False,False,False
1826,39819,Juan Then,False,True,False,False,False,False,False,False,False,False,True
1827,4719088,Blade Tidwell,False,True,True,40.0,False,False,False,False,False,False,False
1828,42439,Thaddeus Ward,False,True,True,41.0,False,False,False,False,False,False,False
1829,5080753,Robby Snelling,False,True,True,47.0,False,False,False,False,False,False,False
1830,4736800,Thomas Harrington,False,True,True,33.0,False,False,False,False,False,False,False
1831,39834,Jose Devers,True,False,False,False,False,False,True,False,True,False,False
1832,5185136,Trevor McDonald,False,True,True,34.0,False,False,False,False,False,False,False
1833,4720860,Bradley Blalock,False,True,True,61.0,False,False,False,False,False,False,False
1834,5099971,Mason Black,False,True,True,37.0,False,False,False,False,False,False,False
1835,40684,Bligh Madris,True,False,False,37.0,False,False,False,True,False,False,False
1836,4416462,Dylan Dodd,False,True,True,57.0,False,False,False,False,False,False,False
1837,5080632,Termarr Johnson,True,False,False,False,False,False,True,False,True,False,False
1838,42429,Logan Davidson,True,False,False,False,True,True,False,False,False,False,False
1839,4740117,Hurston Waldrep,False,True,True,38.0,False,False,False,False,False,False,False
1840,4420749,Jordan Wicks,False,True,True,37.0,False,False,False,False,False,False,False
1841,5197480,Nelson Rada,True,False,False,False,True,False,False,False,False,False,False
1842,42434,Jackson Rutledge,False,True,True,38.0,False,False,False,False,False,False,False
1843,30469,Brandon Crawford,True,False,False,False,False,False,True,False,False,False,False
1844,4626232,Carson Whisenhunt,False,True,True,34.0,False,False,False,False,False,False,False
1845,4917796,Cristian Mena,False,True,True,35.0,False,False,False,False,False,False,False
1846,41373,Yunior Severino,True,False,False,39.0,False,False,False,True,False,False,False
1847,4918155,Mike Burrows,False,True,True,33.0,False,False,False,False,False,False,False
1848,4917816,Ky Bush,False,True,True,26.0,False,False,False,False,False,False,False
1849,4422905,Nick Nastrini,False,True,True,61.0,False,False,False,False,False,False,False
1850,41246,Adam Kloffenstein,False,True,True,33.0,False,False,False,False,False,False,False
1851,4872687,Chase Petty,False,True,True,27.0,False,False,False,False,False,False,False
1852,42542,Seth Johnson,False,True,True,30.0,False,False,False,False,False,False,False
1853,5123582,Gordon Graceffo,False,True,True,33.0,False,False,False,False,False,False,False
1854,4917628,A.J. Vukovich,True,False,False,False,True,False,False,False,False,False,False
1855,4315289,Luke Waddell,True,False,False,False,False,False,True,False,False,False,False
1856,4917878,Logan Henderson,False,True,True,15.0,False,False,False,False,False,False,False
1857,4414551,Mike Vasil,False,True,True,35.0,False,False,False,False,False,False,False
1858,4918160,Connor Phillips,False,True,True,17.0,False,False,False,False,False,False,False
1859,4414243,Richard Fitts,False,True,True,14.0,False,False,False,False,False,False,False
1860,4720990,Jacob Gonzalez,True,False,False,False,False,False,True,False,False,False,False
1861,4297994,Jake Eder,False,True,True,20.0,False,False,False,False,False,False,False
1862,41642,Chris Roller,True,False,False,False,True,False,False,False,False,False,False
1863,5148968,Aidan Miller,True,False,False,False,False,False,True,False,False,False,False
1864,5127102,Victor Mederos,False,True,True,18.0,False,False,False,False,False,False,False
1865,41247,Tyler Phillips,False,True,True,11.0,False,False,False,False,False,False,False
1866,4920836,Tink Hence,False,True,True,False,False,False,False,False,False,False,False
