Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Locklear","SEA",29.5326,110.615,98.5048,21.3185,13.5587,4.42132,0.135802,3.2027,11.5691,11.6739,9.25758,0.333025,33.2493,1.94493,0.833048,0.0745865,2.58462,1.13548,0.202085,0.216421,0.083692,0.300586,0.27843,0.2942,0.361602,0.28884,0.655802,0.145181,3.61251,0.288074,-0.0515736,-0.0475473,11.0397,-1.89984,93.3458,-0.0991209,2.15824,-0.9413183331489563,-0.12051081657409668,0.271164,695.3699951171875,2.13411,-0.742187,1.56639,2.13411,0.742187,2.91148,93.3,3.11,93.3,3.11,,,,,,,,,,,,,,,,,,,"Tyler Locklear","31396",682988
"Andruw Monasterio","MIL",40.8731,144.561,128.086,29.5574,21.2996,5.83139,0.201632,2.22483,15.5042,13.816,14.0373,0.0627906,35.6977,1.36011,0.994754,0.0827822,2.19954,4.66508,1.20158,0.230762,0.0971032,0.246939,0.393228,0.311153,0.331547,0.287958,0.6427,0.100785,4.65302,0.299837,-0.144727,0.157237,14.3251,-2.5854,83.1102,0.0125098,0.00290526,-2.9071758119389415,0.7125079189427197,0.270522,999,2.17494,1.93347,1.56315,2.17494,-1.93347,2.9158,127.9,3.119512195,127.9,3.119512195,,,,,,,,,,,,,,,,,,,"Andruw Monasterio","19455",655316
"Matt Thaiss","CHW",41.3152,149.467,128.844,26.732,18.6148,5.00173,0.086785,3.02871,14.0834,13.8015,18.0274,0.323053,41.4606,1.31343,1.19939,0.0822853,2.31492,1.48706,0.308139,0.207476,0.120611,0.27739,0.434808,0.308418,0.318163,0.282967,0.626581,0.110687,3.22801,0.277056,-0.178827,-0.124399,14.2107,-3.2736,81.3366,-0.303225,-1.61391,-3.5670360922813416,1.1989426612854004,0.269749,999,2.28139,0.0742212,1.41557,2.28139,-0.0742212,3.11257,123.8,3.019512195,123.8,3.019512195,,,,,,,,,,,,,,,,,,,"Matt Thaiss","19318",642136
"Adrian Del Castillo","ARI",44.9789,173.222,156.168,36.5012,22.7746,8.35412,0.273771,5.09867,18.9122,21.0222,14.5095,0.46543,44.1966,1.46281,0.952316,0.129406,2.31648,0.87261,0.256596,0.23373,0.0837627,0.255144,0.328296,0.303153,0.388676,0.302256,0.691829,0.154946,3.13672,0.291236,-0.128878,-0.231535,19.1586,-1.10457,91.4711,-0.360413,-1.2986,-2.127085119485855,-1.0672302544116974,0.265853,458.45001220703125,3.76642,0.444592,1.30941,3.76642,-0.444592,3.25411,171.3,3.806666666,171.3,3.806666666,,,,,,,,,,,,,,,,,,,"Adrian Del Castillo","29554",680728
"Emmanuel Rodriguez","MIN",15.7153,58.2485,49.0172,10.412,5.93516,2.03229,0.686327,1.75817,7.6972,5.87014,8.45843,0.113227,19.8183,0.576803,0.147759,0.0483069,0.623398,1.35638,0.3423,0.212414,0.145213,0.340237,0.426799,0.334143,0.389484,0.32096,0.723627,0.17707,6.735,0.313674,-0.0417813,0.0153833,7.31924,0.505448,110.237,-0.026398,0.269004,0.6558610573410988,-0.02740994095802307,0.265444,999,1.93186,0.876362,1.78615,1.93186,-0.876362,2.61847,66.2,4.1375,66.2,4.1375,,,,,,,,,,,,,,,,,,,"Emmanuel Rodriguez","sa3014693",691181
"Andy Ibáñez","DET",59.1688,209.261,192.453,45.7734,30.6221,9.719,0.858278,4.57404,22.0691,21.9444,13.6527,0.00388677,44.2374,1.79901,1.14968,0.206467,2.76455,1.75274,0.880833,0.237842,0.0652425,0.211399,0.308623,0.292867,0.368564,0.290039,0.661431,0.130721,3.99719,0.284544,0.0650882,-0.369797,21.0869,-3.39203,89.0011,-0.304709,0.274442,-2.9382632672786713,-1.490882694721222,0.263014,749.3699951171875,2.54921,0.0199508,1.25208,2.54921,-0.0199508,3.33055,196.3,3.327118644,196.3,3.327118644,,,,,,,,,,,,,,,,,,,"Andy Ibanez","18819",628451
"Michael A. Taylor","CHW",54.1289,190.596,173.352,36.5468,24.8114,6.15799,0.246788,5.33068,20.5357,18.2204,13.5622,0.0600122,62.4849,0.996458,1.24775,1.43696,2.50435,5.51445,1.0389,0.210824,0.0711571,0.32784,0.217048,0.270172,0.341445,0.269393,0.611618,0.130622,5.15748,0.292328,-0.0489275,0.371876,16.0388,-6.25669,71.9989,0.322949,2.25528,-5.921258270740509,2.1160630732774734,0.262855,729.510009765625,4.19796,0.22558,1.28804,4.19796,-0.22558,3.28261,152.2,2.818518518,152.2,2.818518518,,,,,,,,,,,,,,,,,,,"Michael A. Taylor","11489",572191
"Stuart Fairchild","CIN",69.3457,237.953,210.954,47.7016,29.585,9.95041,0.971896,7.19434,29.9177,26.2418,18.1133,0.0916407,64.9753,5.49835,1.62541,1.76162,2.41929,9.15769,1.9298,0.226123,0.0761213,0.27306,0.278772,0.30193,0.384818,0.301727,0.686748,0.158694,6.25149,0.288493,-0.245729,0.630829,26.2165,-1.6187,86.2751,0.3851,-0.0397619,-3.520265281200409,-1.9125241450965405,0.257293,750,2.18906,1.66825,1.1409,2.18906,-1.66825,3.4788,238.8,3.460869565,238.8,3.460869565,,,,,,,,,,,,,,,,,,,"Stuart Fairchild","20321",656413
"Vaughn Grissom","BOS",23.6744,83.46,75.5455,19.5058,15.6001,2.6915,0.130333,1.08387,9.84648,9.07467,6.5895,0.102407,15.9611,0.911224,0.37099,0.0427452,1.57945,1.26361,0.353503,0.2582,0.078954,0.191243,0.412846,0.323753,0.340319,0.296305,0.664072,0.0821196,4.02277,0.312918,0.0905489,-0.0719617,8.831,-0.931987,86.4219,0.0185872,0.603572,-1.2780599612742662,0.9689173102378845,0.25541,552.0599975585938,6.27591,0.687072,1.78646,6.27591,-0.687072,2.61805,80,3.333333333,80,3.333333333,,,,,,,,,,,,,,,,,,,"Vaughn Grissom","26031",687093
"Casey Schmitt","SFG",30.695,109.734,101.543,23.9151,15.9223,4.79455,0.185305,3.01298,11.4271,11.9891,5.7841,0.121114,25.3435,1.14085,1.03341,0.232518,1.76601,1.17445,0.261921,0.235517,0.0527103,0.230955,0.228228,0.281641,0.3754,0.285679,0.657041,0.139883,3.93579,0.281625,-0.100629,-0.0505545,10.6726,-2.16389,83.2019,-0.151183,0.635835,-2.307886779308319,1.1095234751701355,0.253834,748.6900024414062,1.93418,-0.615736,1.63036,1.93418,0.615736,2.82618,98,3.161290322,98,3.161290322,,,,,,,,,,,,,,,,,,,"Casey Schmitt","27577",669477
"Daniel Schneemann","CLE",42.007,151.683,134.699,29.4889,18.992,6.40558,0.78982,3.30155,15.3701,14.3279,14.931,0.0508325,42.9716,0.647229,1.1705,0.2357,1.98725,2.60935,0.909343,0.218925,0.0984357,0.283298,0.347463,0.297576,0.351739,0.287483,0.649315,0.132814,4.7938,0.292282,-0.126399,-0.118861,14.9728,-2.77077,87.2557,-0.24526,-0.521678,-2.45713110268116,-0.14637136459350586,0.253334,743.8800048828125,3.47958,1.99655,1.45043,3.47958,-1.99655,3.06609,129.6,3.085714285,129.6,3.085714285,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"Drew Romo","COL",57.2152,208.472,194.679,47.2415,32.4533,9.58678,1.35853,3.84294,20.2041,21.4249,9.6483,0.230646,45.855,2.03491,1.47662,0.633482,4.1089,1.69711,0.990144,0.242664,0.0462809,0.219957,0.210409,0.283512,0.365084,0.282419,0.648595,0.12242,4.13053,0.296322,0.181398,-0.408117,19.7288,-4.65792,66.6488,-0.226719,-0.381595,-8.540944695472717,4.033156841993332,0.251435,632.0599975585938,2.88941,-1.72095,1.32951,2.88941,1.72095,3.22732,177.5,3.114035087,177.5,3.114035087,,,,,,,,,,,,,,,,,,,"Drew Romo","27763",691011
"Anthony Rendon","LAA",19.6587,79.3356,68.6235,16.3423,11.4362,3.46231,0.198298,1.24544,8.58637,6.96408,8.37213,0.0241751,12.5914,1.28582,1.00132,0.0528162,1.58891,1.42204,0.352611,0.238144,0.105528,0.15871,0.66491,0.327943,0.348824,0.302472,0.676766,0.11068,4.26666,0.27061,-0.079172,-0.0246942,8.78842,-0.492107,94.7839,-0.103866,0,-0.5773635432124138,0.29150354862213135,0.243615,742.510009765625,2.11063,-0.485893,1.78945,2.11063,0.485893,2.61406,67.6,3.38,67.6,3.38,,,,,,,,,,,,,,,,,,,"Anthony Rendon","12861",543685
"Nick Loftin","KCR",35.8064,131.869,117.894,28.0089,20.6063,5.39539,0.285347,1.72189,13.8075,12.3961,11.0376,0.0541472,21.2186,1.30652,1.13342,0.497029,2.31359,1.85038,0.665163,0.237577,0.0837017,0.160907,0.520188,0.307167,0.331998,0.285033,0.639165,0.0944214,4.00105,0.273575,0.0369174,-0.158951,12.7569,-2.66887,82.758,-0.122034,0.352167,-2.782266966998577,0.7205455303192139,0.240835,999,2.96255,1.72392,1.59133,2.96255,-1.72392,2.87823,109.1,3.030555555,109.1,3.030555555,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Kevin Newman","LAA",60.5244,222.591,204.953,50.5222,37.8897,9.51543,0.947462,2.16964,23.3462,18.4938,11.7905,0.416732,35.6932,1.52639,1.89379,2.42735,4.24392,4.96928,1.13899,0.246507,0.0529696,0.160353,0.33033,0.289963,0.333938,0.274111,0.623901,0.0874313,5.07141,0.286138,0.236586,0.131703,19.5765,-6.46171,74.8342,0.368289,0.385569,-6.041209489107132,0.9109543859958649,0.236498,667.510009765625,2.66285,0.724263,1.41728,2.66285,-0.724263,3.11029,182.8,2.996721311,182.8,2.996721311,,,,,,,,,,,,,,,,,,,"Kevin Newman","17696",621028
"Tom Murphy","SFG",45.964,162.108,146.334,33.4663,21.3946,6.59777,0.157192,5.31667,16.908,16.9468,13.5907,0.0677598,47.8631,1.14284,0.946502,0.0938327,2.36212,0.482965,0.218107,0.228698,0.0838374,0.295255,0.283949,0.297504,0.384931,0.299048,0.682436,0.156233,2.36107,0.299144,-0.103126,-0.276345,17.5107,-1.45234,92.3987,-0.379472,-1.11248,-1.8211913406848907,-1.311088740825653,0.234323,747.6500244140625,2.83126,1.84105,1.38091,2.83126,-1.84105,3.15879,151.1,3.284782608,151.1,3.284782608,,,,,,,,,,,,,,,,,,,"Tom Murphy","13499",608596
"Ronny Mauricio","NYM",24.8882,100.96,95.1598,23.0994,15.7579,4.35092,0.151484,2.8391,11.1425,10.6879,5.07873,0.319881,22.8814,0.387419,0.261244,0.0729048,1.46298,3.29231,0.784598,0.242743,0.0503044,0.226638,0.221959,0.283144,0.381155,0.288069,0.664298,0.138411,4.86585,0.290677,-0.144423,0.17571,10.0135,-1.79666,84.8461,0.0312864,0.15216,-1.7587604001164436,0.6459738314151764,0.232481,544.219970703125,4.99113,0.191576,1.72469,4.99113,-0.191576,2.70041,91.5,3.66,91.5,3.66,,,,,,,,,,,,,,,,,,,"Ronny Mauricio","23698",677595
