NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Jose Ramirez,CLE,3B,32.0,FA,1,$1.00,-44.0,651.0,607.0,3.98,187.1,15.903500000000001
Austin Riley,ATL,3B,28.0,Cheating Raiders,1,60%,-20.0,553.0,533.0,3.51,113.10000000000002,9.613500000000002
Jazz Chisholm Jr.,NYY,OF/3B,27.0,Midtown Jaguars,1,40%,52.0,472.0,524.0,3.72,104.10000000000002,8.848500000000003
Rafael Devers,BOS,3B,28.0,Bayou Shooters,1,80%,-26.0,549.0,523.0,3.65,103.10000000000002,8.763500000000002
Manny Machado,SDP,3B,32.0,Cheating Raiders,2,$7.00,-46.0,555.0,509.0,3.44,89.10000000000002,7.573500000000003
Matt Chapman,SFG,3B,32.0,Ryno World,0,AAA opt,-1.0,485.0,484.0,3.27,64.10000000000002,5.448500000000002
Alex Bregman,BOS,3B,31.0,Detroit Nittany Tide,1,$6.50,-23.0,499.0,476.0,3.27,56.10000000000002,4.768500000000002
Mark Vientos,NYM,3B,25.0,FA,1,$1.00,6.0,443.0,449.0,3.09,29.100000000000023,2.4735000000000023
Jake Burger,TEX,3B/1B,29.0,FA,1,$1.00,-13.0,456.0,443.0,3.14,23.100000000000023,1.963500000000002
Ryan McMahon,COL,3B,30.0,Midtown Jaguars,1,80%,5.0,434.0,439.0,3.0,19.100000000000023,1.623500000000002
Alec Bohm,PHI,3B,28.0,Dip City Thunder,1,60%,-10.0,448.0,438.0,3.04,18.100000000000023,1.538500000000002
Jordan Westburg,BAL,2B/3B,26.0,Orlando Renegades,1,$1.00,-30.0,466.0,436.0,3.24,16.100000000000023,1.368500000000002
Eugenio Suarez,ARI,3B,33.0,West Coast Spartans,0,AAA opt,-48.0,483.0,435.0,3.02,15.100000000000025,1.283500000000002
Isaac Paredes,HOU,3B,26.0,FA,1,$1.00,-52.0,481.0,429.0,3.04,9.100000000000025,1.0
Nolan Arenado,STL,3B,34.0,Midtown Jaguars,1,$3.55,-29.0,448.0,419.0,2.9,-0.8999999999999773,1.0
Max Muncy,LAD,3B,34.0,FA,1,$1.00,-69.0,482.0,413.0,3.31,-6.899999999999977,1.0
Max Muncy,LAD,3B,34.0,FA,1,$1.00,-69.0,482.0,413.0,3.31,-6.899999999999977,1.0
Junior Caminero,TBR,3B,21.0,Orlando Renegades,U,$-,-17.0,426.0,409.0,3.14,-10.899999999999975,1.0
Royce Lewis,MIN,3B,26.0,Dip City Thunder,2,$1.00,54.0,347.0,401.0,3.28,-18.899999999999977,1.0
Connor Norby,MIA,2B/3B,25.0,Springfield Zephyrs,U,$-,-74.0,464.0,390.0,2.89,-29.899999999999977,1.0
Joey Ortiz,MIL,3B,26.0,FA,1,$1.00,22.0,363.0,385.0,2.75,-34.89999999999998,1.0
Christopher Morel,TBR,2B/3B,26.0,FA,1,$1.00,-82.0,466.0,384.0,3.08,-35.89999999999998,1.0
Maikel Garcia,KCR,2B/3B,25.0,Midtown Jaguars,0,AAA opt,-88.0,472.0,384.0,2.94,-35.89999999999998,1.0
Luis Rengifo,LAA,2B/3B,28.0,FA,1,$1.00,11.0,367.0,378.0,3.04,-41.89999999999998,1.0
Willi Castro,MIN,2B/OF/3B/SS,28.0,FA,1,$1.00,-71.0,446.0,375.0,2.87,-44.89999999999998,1.0
Josh Jung,TEX,3B,27.0,Country Strong,1,$1.00,39.0,319.0,358.0,2.94,-61.89999999999998,0.0
Jeimer Candelario,CIN,3B/1B,31.0,FA,1,$1.00,-7.0,360.0,353.0,2.95,-66.89999999999998,0.0
Matt Shaw,CHC,2B/3B/SS,,Cheating Raiders,U,$-,-43.0,396.0,353.0,3.05,-66.89999999999998,0.0
Ke'Bryan Hayes,PIT,3B,28.0,Young Bucks,2,$1.50,4.0,342.0,346.0,2.76,-73.89999999999998,0.0
Matt Vierling,DET,OF/3B,,FA,,,-60.0,383.0,323.0,2.85,-96.89999999999998,0.0
Isiah Kiner-Falefa,PIT,2B/3B/SS,,FA,,,87.0,223.0,310.0,2.49,-109.89999999999998,0.0
Yoan Moncada,LAA,3B,30.0,FA,1,$1.00,91.0,206.0,297.0,2.67,-122.89999999999998,0.0
