Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Steven Kwan,CLE,452.0,3.08,Steven Kwan,24610,680757,32.10000000000002,False
Triston Casas,BOS,450.0,3.24,Triston Casas,22514,671213,30.100000000000023,False
Paul Goldschmidt,NYY,450.0,3.18,Paul Goldschmidt,9218,502671,30.100000000000023,False
Nick Castellanos,PHI,450.0,3.04,Nick Castellanos,11737,592206,30.100000000000023,False
Mark Vientos,NYM,449.0,3.09,Mark Vientos,22184,668901,29.100000000000023,False
Seiya Suzuki,CHC,448.0,3.46,Seiya Suzuki,30116,673548,28.100000000000023,False
Adley Rutschman,BAL,448.0,3.07,Adley Rutschman,26288,668939,28.100000000000023,False
Cody Bellinger,NYY,446.0,3.31,Cody Bellinger,15998,641355,26.100000000000023,False
Jake Burger,TEX,443.0,3.14,Jake Burger,22275,669394,23.100000000000023,False
Anthony Volpe,NYY,442.0,3.03,Anthony Volpe,27647,683011,22.100000000000023,False
Matt McLain,CIN,441.0,3.48,Matt McLain,29695,680574,21.100000000000023,False
Adolis García,TEX,439.0,3.22,Adolis Garcia,19287,666969,19.100000000000023,False
Jeremy Peña,HOU,439.0,2.9,Jeremy Pena,21636,665161,19.100000000000023,False
Ryan McMahon,COL,439.0,3.0,Ryan McMahon,15112,641857,19.100000000000023,False
Alec Bohm,PHI,438.0,3.04,Alec Bohm,21618,664761,18.100000000000023,False
Jordan Westburg,BAL,436.0,3.24,Jordan Westburg,27815,676059,16.100000000000023,False
Yandy Díaz,TBR,436.0,3.08,Yandy Diaz,16578,650490,16.100000000000023,False
Eugenio Suárez,ARI,435.0,3.02,Eugenio Suarez,12552,553993,15.100000000000023,False
Cal Raleigh,SEA,435.0,3.07,Cal Raleigh,21534,663728,15.100000000000023,False
Gleyber Torres,DET,434.0,2.97,Gleyber Torres,16997,650402,14.100000000000023,False
Christian Yelich,MIL,433.0,3.6,Christian Yelich,11477,592885,13.100000000000023,False
Bo Bichette,TOR,431.0,3.07,Bo Bichette,19612,666182,11.100000000000023,False
George Springer,TOR,431.0,3.14,George Springer,12856,543807,11.100000000000023,False
Xander Bogaerts,SDP,430.0,2.97,Xander Bogaerts,12161,593428,10.100000000000023,False
Dylan Crews,WSN,430.0,3.2,Dylan Crews,33541,686611,10.100000000000023,False
JJ Bleday,ATH,429.0,3.0,JJ Bleday,26368,668709,9.100000000000023,False
Isaac Paredes,HOU,429.0,3.04,Isaac Paredes,20036,670623,9.100000000000023,False
Masyn Winn,STL,428.0,3.01,Masyn Winn,27479,691026,8.100000000000023,False
Jurickson Profar,ATL,424.0,3.02,Jurickson Profar,10815,595777,4.100000000000023,False
Brandon Nimmo,NYM,424.0,3.18,Brandon Nimmo,12927,607043,4.100000000000023,False
Colton Cowser,BAL,423.0,3.1,Colton Cowser,29591,681297,3.1000000000000227,False
Bryson Stott,PHI,422.0,2.99,Bryson Stott,26294,681082,2.1000000000000227,False
