Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP
Jack O'Loughlin,COL,33.38,3.84,Jack O'Loughlin,22690,672552,-295.645
Adam Macko,TOR,32.84,7.21,Adam Macko,sa3011555,671936,-296.18499999999995
Marco Gonzales,,31.7,7.63,Marco Gonzales,15467,594835,-297.325
Carlos Carrasco,NYY,31.37,5.03,Carlos Carrasco,6632,471911,-297.655
Josh Winder,ARI,31.32,4.15,Josh Winder,24606,680739,-297.705
Nick Nelson,,29.52,3.24,Nick Nelson,20153,656793,-299.505
Emmet Sheehan,LAD,27.88,5.47,Emmet Sheehan,29839,686218,-301.145
Thomas Harrington,PIT,27.85,7.92,Thomas Harrington,sa3020752,802419,-301.17499999999995
Drew Rom,STL,27.77,4.3,Drew Rom,24602,680723,-301.255
Grant Hartwig,NYM,27.75,3.0,Grant Hartwig,29946,701643,-301.275
Darren McCaughan,MIN,27.32,6.5,Darren McCaughan,20038,670766,-301.705
Logan Henderson,MIL,26.84,3.39,Logan Henderson,sa3020080,701656,-302.185
Travis Adams,MIN,26.78,2.85,Travis Adams,sa3017991,701519,-302.245
Joan Adon,WSN,26.54,2.55,Joan Adon,22925,672851,-302.48499999999996
Cory Lewis,MIN,25.57,2.65,Cory Lewis,sa3020702,675375,-303.455
Ricky Vanasco,DET,24.83,3.11,Ricky Vanasco,23391,676568,-304.195
Hunter Dobbins,BOS,24.48,2.82,Hunter Dobbins,sa3018275,690928,-304.54499999999996
Vince Velasquez,CLE,24.34,2.58,Vince Velasquez,11189,592826,-304.685
Brad Keller,CHC,23.88,2.9,Brad Keller,15734,641745,-305.145
Drew Smith,NYM,23.29,2.61,Drew Smith,17755,622098,-305.73499999999996
James Kaprielian,,22.7,8.15,James Kaprielian,18331,621076,-306.325
Clay Helvey,WSN,22.69,2.51,Clay Helvey,sa3007459,663627,-306.335
Bruce Zimmermann,MIL,22.56,5.4,Bruce Zimmermann,20370,669145,-306.465
Sixto Sánchez,MIA,21.92,5.05,Sixto Sanchez,19680,664350,-307.10499999999996
Tyler Jay,MIL,21.91,2.8,Tyler Jay,17952,664079,-307.11499999999995
Eric Lauer,TOR,21.3,5.2,Eric Lauer,19316,641778,-307.72499999999997
Michael Arias,NYY,21.15,2.14,Michael Arias,sa3017036,683522,-307.875
Elvin Rodriguez,MIL,20.99,2.34,Elvin Rodriguez,20962,660730,-308.03499999999997
A.J. Blubaugh,HOU,20.88,2.8,A.J. Blubaugh,sa3020112,805123,-308.145
Tyler Owens,DET,20.79,2.14,Tyler Owens,sa3011201,687074,-308.23499999999996
Josiah Gray,WSN,20.72,5.09,Josiah Gray,24580,680686,-308.30499999999995
Kelvin Cáceres,LAA,20.66,2.08,Kelvin Caceres,24681,680983,-308.36499999999995
Joel Kuhnel,PHI,20.65,2.18,Joel Kuhnel,19995,669270,-308.375
Jhonathan Díaz,SEA,20.26,6.37,Jhonathan Diaz,20298,646242,-308.765
Andrew Wantz,TBR,20.24,3.15,Andrew Wantz,24933,681806,-308.78499999999997
Ray Kerr,ATL,20.18,3.28,Ray Kerr,23809,678061,-308.84499999999997
Joe Jacques,LAD,20.13,2.03,Joe Jacques,25178,682175,-308.895
Brandon Bielak,ARI,20.07,2.38,Brandon Bielak,19866,656232,-308.955
Trey McGough,CHW,19.91,2.62,Trey McGough,sa1170436,690736,-309.11499999999995
Dane Acker,TEX,19.91,6.0,Dane Acker,sa3014924,686769,-309.11499999999995
Ryder Ryan,PIT,19.72,2.45,Ryder Ryan,19891,656924,-309.30499999999995
Matt Canterino,MIN,19.57,2.42,Matt Canterino,sa3011530,683764,-309.455
Jimmy Lambert,,19.44,2.43,Jimmy Lambert,19541,669424,-309.585
Nabil Crismatt,PHI,18.83,2.8,Nabil Crismatt,17732,622503,-310.195
Blake Weiman,HOU,18.68,2.37,Blake Weiman,sa3004211,676620,-310.34499999999997
Tekoah Roby,STL,18.56,12.38,Tekoah Roby,sa3014519,694358,-310.465
Chad Kuhl,ATL,18.33,2.06,Chad Kuhl,14975,641771,-310.695
Jose E. Hernandez,LAD,17.99,2.46,Jose E. Hernandez,22318,669796,-311.03499999999997
Trent Harris,SFG,17.7,1.96,Trent Harris,sa3022526,805345,-311.325
Albert Abreu,CIN,17.55,2.01,Albert Abreu,17485,656061,-311.47499999999997
Marco Raya,MIN,17.38,2.14,Marco Raya,sa3014550,694397,-311.645
Rob Zastryzny,NYY,17.14,2.06,Rob Zastryzny,15094,642239,-311.885
Tejay Antone,CIN,16.55,1.96,Tejay Antone,16233,622088,-312.47499999999997
Sean Newcomb,BOS,16.41,3.41,Sean Newcomb,16943,656794,-312.61499999999995
Connor Seabold,TBR,15.53,1.96,Connor Seabold,19695,657756,-313.495
Chasen Shreve,ATL,15.14,2.35,Chasen Shreve,10855,592741,-313.885
Kirby Snead,,14.97,2.18,Kirby Snead,19179,669912,-314.05499999999995
Yerry Rodríguez,,14.57,2.22,Yerry Rodriguez,21955,666720,-314.455
Royber Salinas,ATL,14.48,3.75,Royber Salinas,sa3009243,683690,-314.54499999999996
Patrick Murphy,TEX,14.44,2.28,Patrick Murphy,19712,641907,-314.585
Ben Heller,CHC,14.13,2.47,Ben Heller,15100,621294,-314.895
Jordan Balazovic,DET,13.96,2.87,Jordan Balazovic,21866,666364,-315.065
Sammy Peralta,CHW,13.81,3.19,Sammy Peralta,25589,671111,-315.215
