NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Jared Triolo,PIT,2B/3B,,FA,,,-128.0,291.0,163.0,2.52,-256.9,0.0
Jose Iglesias,SDP,2B/3B,,FA,,,-3.0,163.0,160.0,2.33,-259.9,0.0
Adam Frazier,PIT,2B/OF,,FA,,,75.0,83.0,158.0,2.25,-261.9,0.0
Nick Yorke,PIT,2B,,FA,,,77.0,77.0,154.0,2.77,-265.9,0.0
Amed Rosario,WSN,2B/OF,29.0,FA,1,$1.00,13.0,141.0,154.0,2.59,-265.9,0.0
Orelvis Martinez,TOR,2B/3B,23.0,Dip City Thunder,U,$-,-50.0,200.0,150.0,2.62,-269.9,0.0
Thomas Saggese,STL,2B,,FA,,,28.0,121.0,149.0,2.46,-270.9,0.0
Santiago Espinal,CIN,2B/3B,,FA,,,72.0,77.0,149.0,2.36,-270.9,0.0
Kevin Newman,LAA,2B/SS,,FA,,,-28.0,162.0,134.0,2.19,-285.9,0.0
Edmundo Sosa,PHI,2B/3B/SS,,FA,,,-34.0,166.0,132.0,2.4,-287.9,0.0
Andy Ibanez,DET,2B,,FA,,,12.0,118.0,130.0,2.23,-289.9,0.0
Whit Merrifield,,2B/OF,36.0,Ryno World,0,AAA opt,-30.0,150.0,120.0,2.71,-299.9,0.0
David Hamilton,BOS,2B/SS,,FA,,,-102.0,222.0,120.0,3.01,-299.9,0.0
Brooks Baldwin,CHW,2B/SS,,FA,,,-58.0,171.0,113.0,2.5,-306.9,0.0
Garrett Hampson,ARI,2B/OF,,FA,,,56.0,55.0,111.0,1.42,-308.9,0.0
Ildemaro Vargas,ARI,2B/3B,,FA,,,77.0,34.0,111.0,1.68,-308.9,0.0
Jorge Mateo,BAL,2B,,FA,,,-44.0,149.0,105.0,2.77,-314.9,0.0
Brett Wisely,SFG,2B/SS,,FA,,,-3.0,104.0,101.0,2.24,-318.9,0.0
Blaze Alexander,ARI,2B/SS,,FA,,,9.0,89.0,98.0,2.29,-321.9,0.0
Andruw Monasterio,MIL,2B/3B,,FA,,,20.0,76.0,96.0,2.33,-323.9,0.0
Vidal Brujan,CHC,2B/SS,,FA,,,-47.0,137.0,90.0,2.19,-329.9,0.0
Romy Gonzalez,BOS,2B/1B/SS,,FA,,,-2.0,86.0,84.0,2.56,-335.9,0.0
Enmanuel Valdez,PIT,2B,,FA,,,-9.0,91.0,82.0,2.34,-337.9,0.0
Curtis Mead,TBR,2B/3B,24.0,Springfield Zephyrs,U,$-,36.0,44.0,80.0,2.49,-339.9,0.0
Ronny Mauricio,NYM,2B,,Bayou Shooters,U,$-,-89.0,163.0,74.0,2.69,-345.9,0.0
Nick Loftin,KCR,2B/3B,,FA,,,-6.0,78.0,72.0,2.23,-347.9,0.0
Cole Young,SEA,2B/SS,,Springfield Zephyrs,U,$-,22.0,45.0,67.0,2.54,-352.9,0.0
Vaughn Grissom,BOS,2B,24.0,Ryno World,1,$2.10,-93.0,158.0,65.0,2.51,-354.9,0.0
Cavan Biggio,KCR,2B,,FA,,,-84.0,148.0,64.0,2.19,-355.9,0.0
Casey Schmitt,SFG,2B/SS,,FA,,,-22.0,84.0,62.0,2.31,-357.9,0.0
Max Acosta,MIA,2B/SS,,FA,,,61.0,0.0,61.0,2.39,-358.9,0.0
Vinny Capra,MIL,2B/3B/SS,,FA,,,46.0,13.0,59.0,1.98,-360.9,0.0
Luis Guillorme,HOU,2B,,FA,,,-1.0,52.0,51.0,1.85,-368.9,0.0
Leo Jimenez,TOR,2B/SS,,FA,,,-55.0,106.0,51.0,2.21,-368.9,0.0
Marco Luciano,SFG,2B/SS,23.0,Structure Fire,U,$-,-20.0,69.0,49.0,2.15,-370.9,0.0
Max Muncy,ATH,2B/SS,,FA,,,7.0,36.0,43.0,2.36,-376.9,0.0
Leo Rivas,SEA,2B/SS,,FA,,,-4.0,44.0,40.0,2.04,-379.9,0.0
Danny Mendick,CHW,2B/3B,,FA,,,40.0,0.0,40.0,1.68,-379.9,0.0
Matt Duffy,,2B/3B,,FA,,,-6.0,45.0,39.0,1.78,-380.9,0.0
Adael Amador,COL,2B,22.0,West Coast Spartans,U,$-,-53.0,90.0,37.0,2.66,-382.9,0.0
Aaron Schunk,COL,2B/3B,,FA,,,-2.0,38.0,36.0,1.51,-383.9,0.0
Luke Williams,ATL,2B,,FA,,,-5.0,40.0,35.0,1.78,-384.9,0.0
Grae Kessinger,ARI,2B/3B,,FA,,,19.0,15.0,34.0,1.5,-385.9,0.0
Nacho Alvarez Jr.,ATL,2B,,FA,,,-58.0,91.0,33.0,2.51,-386.9,0.0
Alika Williams,PIT,2B/SS,,FA,,,-6.0,39.0,33.0,1.44,-386.9,0.0
Liover Peguero,PIT,2B/SS,,FA,,,-51.0,84.0,33.0,2.5,-386.9,0.0
Nicky Lopez,CHC,2B/SS,,FA,,,-65.0,97.0,32.0,1.83,-387.9,0.0
Charles Leblanc,ATL,2B/3B,,FA,,,-10.0,38.0,28.0,1.82,-391.9,0.0
Joey Wendle,,2B/3B,,FA,,,-39.0,66.0,27.0,1.73,-392.9,0.0
Tim Tawa,ARI,2B/1B,,FA,,,-14.0,40.0,26.0,2.48,-393.9,0.0
Keston Hiura,COL,2B,,FA,,,22.0,0.0,22.0,2.67,-397.9,0.0
Michael Stefanic,TOR,2B,,FA,,,-14.0,36.0,22.0,1.56,-397.9,0.0
Nick Sogard,BOS,2B/SS,,FA,,,3.0,18.0,21.0,2.07,-398.9,0.0
Kyren Paris,LAA,2B,,FA,,,-35.0,55.0,20.0,1.89,-399.9,0.0
Cooper Bowman,ATH,2B/OF,,FA,,,-25.0,45.0,20.0,2.32,-399.9,0.0
Donovan Walton,NYM,2B,,FA,,,7.0,12.0,19.0,1.33,-400.9,0.0
Mickey Gasper,MIN,2B,,FA,,,-25.0,44.0,19.0,1.13,-400.9,0.0
Zach Remillard,,2B,,FA,,,17.0,0.0,17.0,1.52,-402.9,0.0
Christian Cairo,ATL,2B/3B/SS,,FA,,,-20.0,37.0,17.0,1.7,-402.9,0.0
Darren Baker,WSN,2B/OF,,FA,,,-16.0,32.0,16.0,2.0,-403.9,0.0
Buddy Kennedy,PHI,2B/3B,,FA,,,-25.0,38.0,13.0,1.83,-406.9,0.0
