NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Max Kranick,NYM,RP,,FA,,,17.01,46.0,63.01,2.29,-275.38800000000003,0.0
Jordan Weems,ATL,RP,,FA,,,-23.15,86.0,62.85,2.26,-275.548,0.0
Sean Reid-Foley,NYM,RP,,FA,,,-16.45,79.0,62.55,2.58,-275.848,0.0
Anthony Misiewicz,MIN,RP,,FA,,,62.42,0.0,62.42,2.49,-275.978,0.0
Mike Baumann,,RP,,FA,,,-92.46,154.0,61.54,2.84,-276.858,0.0
Jacob Barnes,TOR,RP,,FA,,,-77.5,139.0,61.5,2.52,-276.898,0.0
Clayton Beeter,NYY,SP/RP,,FA,,,-10.19,71.0,60.81,2.92,-277.588,0.0
Tom Cosgrove,SDP,RP,,FA,,,-17.44,78.0,60.56,2.04,-277.838,0.0
Luarbert Arias,MIA,RP,,FA,,,-21.9,82.0,60.1,2.37,-278.298,0.0
Josh Staumont,CIN,RP,,FA,,,-15.94,76.0,60.06,2.92,-278.338,0.0
Noah Murdock,ATH,RP,,FA,,,-28.98,89.0,60.02,2.04,-278.37800000000004,0.0
Grant Anderson,MIL,RP,,FA,,,-19.46,79.0,59.54,2.56,-278.858,0.0
Ethan Roberts,CHC,RP,,FA,,,-12.49,71.0,58.51,2.35,-279.88800000000003,0.0
Will Smith,,RP,35.0,FA,1,$1.00,-56.75,115.0,58.25,2.38,-280.148,0.0
Trevor Richards,CHC,RP,,FA,,,-86.02,144.0,57.98,2.6,-280.418,0.0
Cole Sulser,TBR,RP,,FA,,,-2.09,60.0,57.91,2.8,-280.48800000000006,0.0
Roansy Contreras,BAL,RP,25.0,Country Strong,1,$1.00,-82.29,140.0,57.71,2.75,-280.68800000000005,0.0
Josh Walker,TOR,RP,,FA,,,5.42,51.0,56.42,2.44,-281.978,0.0
Hunter Stratton,PIT,RP,,FA,,,-32.0,88.0,56.0,2.68,-282.398,0.0
Brusdar Graterol,LAD,RP,,FA,,,-6.31,62.0,55.69,2.83,-282.708,0.0
Tyler Matzek,NYY,RP,,FA,,,-14.74,70.0,55.26,2.14,-283.13800000000003,0.0
Gerson Garabito,TEX,RP,,FA,,,-15.55,70.0,54.45,2.37,-283.94800000000004,0.0
Steven Okert,HOU,RP,,FA,,,-43.58,98.0,54.42,2.46,-283.978,0.0
Ross Stripling,KCR,SP/RP,,FA,,,-16.59,71.0,54.41,3.78,-283.98800000000006,0.0
Cody Bolton,SEA,RP,,FA,,,1.41,53.0,54.41,2.22,-283.98800000000006,0.0
Franco Aleman,CLE,RP,,FA,,,54.36,0.0,54.36,2.79,-284.038,0.0
Evan Justice,COL,RP,,FA,,,37.29,17.0,54.29,1.74,-284.108,0.0
Peter Strzelecki,PIT,RP,,FA,,,-20.77,75.0,54.23,2.3,-284.168,0.0
