NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
J.C. Escarra,NYY,C/1B,,FA,,,-54.0,76.0,22.0,2.06,-397.9,0.0
Max Stassi,SFG,C,,FA,,,-9.0,30.0,21.0,1.59,-398.9,0.0
Logan Driscoll,TBR,C,,FA,,,-15.0,34.0,19.0,1.97,-400.9,0.0
Reese McGuire,CHC,C,,FA,,,-15.0,34.0,19.0,1.88,-400.9,0.0
Jeferson Quero,MIL,C,,FA,,,-18.0,37.0,19.0,2.43,-400.9,0.0
Jair Camargo,MIN,C,,FA,,,2.0,16.0,18.0,1.55,-401.9,0.0
Austin Wynns,CIN,C,,FA,,,-1.0,17.0,16.0,1.73,-403.9,0.0
Carlos Perez,CHC,C,,FA,,,15.0,0.0,15.0,1.56,-404.9,0.0
Jakson Reetz,NYM,C,,FA,,,-2.0,17.0,15.0,1.71,-404.9,0.0
Brett Sullivan,SDP,C/1B,,FA,,,2.0,12.0,14.0,1.8,-405.9,0.0
Rene Pinto,ARI,C,,FA,,,-4.0,17.0,13.0,1.79,-406.9,0.0
Brian Serven,DET,C,,FA,,,13.0,0.0,13.0,1.22,-406.9,0.0
Tucker Barnhart,TEX,C,,FA,,,-16.0,28.0,12.0,1.44,-407.9,0.0
